No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
446,SYK,Stryker Corporation,Healthcare,Medical Appliances & Equipment,USA,81.97B,41.26,216.30,1.26%,"1,309,619"
447,UNH,UnitedHealth Group Incorporated,Healthcare,Health Care Plans,USA,206.16B,16.32,217.32,0.96%,"5,284,592"
448,MSCI,MSCI Inc.,Technology,Processing Systems & Products,USA,19.10B,32.90,217.75,0.86%,"594,062"
449,EW,Edwards Lifesciences Corporation,Healthcare,Medical Appliances & Equipment,USA,46.64B,60.97,219.91,1.21%,"996,489"
450,AMT,American Tower Corporation (REIT),Financial,REIT - Diversified,USA,99.69B,66.85,221.13,0.98%,"1,693,952"
451,ANSS,"ANSYS, Inc.",Technology,Application Software,USA,18.87B,43.44,221.36,1.97%,"386,108"
452,APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals - Major Diversified,USA,49.38B,28.43,221.86,0.36%,"634,626"
453,WAT,Waters Corporation,Healthcare,Medical Instruments & Supplies,USA,14.55B,28.65,223.23,0.31%,"438,405"
454,AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1017.11B,19.46,223.97,2.35%,"25,975,889"
455,LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,USA,35.33B,16.86,231.11,0.45%,"1,543,482"
456,HD,"The Home Depot, Inc.",Services,Home Improvement Stores,USA,254.02B,23.28,232.02,0.94%,"3,248,188"
457,BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - Major,USA,42.94B,8.62,232.82,1.13%,"1,181,955"
458,NEE,"NextEra Energy, Inc.",Utilities,Electric Utilities,USA,114.08B,33.08,232.99,0.75%,"2,232,141"
459,ANET,"Arista Networks, Inc.",Technology,Diversified Computer Systems,USA,18.40B,26.37,238.92,-1.59%,"735,220"
460,ANTM,"Anthem, Inc.",Healthcare,Health Care Plans,USA,61.71B,15.59,240.10,1.01%,"1,391,223"
461,SBAC,SBA Communications Corporation,Technology,Diversified Communication Services,USA,28.33B,225.16,241.15,1.82%,"804,196"
462,SPGI,S&P Global Inc.,Services,Business Services,USA,62.70B,31.10,244.98,-0.56%,"2,630,714"
463,PSA,Public Storage,Financial,REIT - Industrial,USA,43.08B,29.29,245.27,0.11%,"877,553"
464,ULTA,"Ulta Beauty, Inc.",Services,"Specialty Retail, Other",USA,14.26B,21.22,250.65,2.56%,"2,312,983"
465,BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,USA,68.98B,63.18,252.96,1.99%,"1,665,501"
466,HUM,Humana Inc.,Healthcare,Health Care Plans,USA,35.39B,13.81,255.67,-0.75%,"1,385,086"
467,WCG,"WellCare Health Plans, Inc.",Healthcare,Health Care Plans,USA,13.04B,24.82,259.17,-0.05%,"700,627"
468,INTU,Intuit Inc.,Technology,Application Software,USA,70.88B,45.11,265.94,1.04%,"1,135,586"
469,RE,"Everest Re Group, Ltd.",Financial,Property & Casualty Insurance,Bermuda,10.86B,21.20,266.09,0.04%,"204,858"
470,NFLX,"Netflix, Inc.",Services,CATV Systems,USA,117.28B,107.74,267.62,1.73%,"6,725,537"
471,CTAS,Cintas Corporation,Services,Business Services,USA,28.30B,33.96,268.10,0.74%,"561,206"
472,MA,Mastercard Incorporated,Financial,Credit Services,USA,277.23B,42.32,271.57,0.91%,"3,035,385"
473,IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostic Substances,USA,23.63B,58.34,271.93,-0.20%,"459,269"
474,MLM,"Martin Marietta Materials, Inc.",Industrial Goods,General Building Materials,USA,17.30B,34.08,274.10,1.25%,"382,124"
475,AVGO,Broadcom Inc.,Technology,Semiconductor - Broad Line,Singapore,110.62B,38.42,276.07,0.70%,"1,982,583"
476,ADBE,Adobe Inc.,Technology,Application Software,USA,137.13B,48.94,276.25,-0.46%,"3,992,337"
477,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,30.81B,15.94,277.40,1.44%,"515,052"
478,FLT,"FleetCor Technologies, Inc.",Services,Business Services,USA,25.23B,28.27,286.78,-0.42%,"1,219,957"
479,COST,Costco Wholesale Corporation,Services,"Discount, Variety Stores",USA,127.73B,37.10,288.11,0.76%,"2,151,512"
480,TMO,Thermo Fisher Scientific Inc.,Healthcare,Medical Laboratories & Research,USA,116.51B,33.01,291.27,1.35%,"1,508,694"
481,COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,USA,14.95B,31.88,297.00,0.93%,"264,025"
482,GWW,"W.W. Grainger, Inc.",Services,Industrial Equipment Wholesale,USA,16.14B,20.24,297.15,0.73%,"329,849"
483,ILMN,"Illumina, Inc.",Healthcare,Medical Instruments & Supplies,USA,44.72B,47.98,304.22,0.98%,"641,563"
484,ESS,"Essex Property Trust, Inc.",Financial,REIT - Residential,USA,21.73B,52.54,326.65,0.09%,"258,754"
485,MKTX,MarketAxess Holdings Inc.,Financial,Investment Brokerage - National,USA,12.64B,67.14,327.50,0.86%,"440,311"
486,TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,USA,15.91B,59.19,339.75,1.23%,"275,728"
487,ROP,"Roper Technologies, Inc.",Industrial Goods,Diversified Machinery,USA,37.15B,33.67,356.60,0.56%,"409,284"
488,NOC,Northrop Grumman Corporation,Industrial Goods,Aerospace/Defense - Major Diversified,USA,65.29B,18.50,374.79,0.97%,"862,958"
489,BA,The Boeing Company,Industrial Goods,Aerospace/Defense Products & Services,USA,216.35B,44.57,380.47,-0.62%,"3,120,765"
490,LMT,Lockheed Martin Corporation,Industrial Goods,Aerospace/Defense Products & Services,USA,111.58B,19.15,390.06,0.56%,"1,271,150"
491,ORLY,"O'Reilly Automotive, Inc.",Services,Auto Parts Stores,USA,30.62B,23.76,398.51,1.02%,"359,706"
492,CHTR,"Charter Communications, Inc.",Services,CATV Systems,USA,92.35B,69.87,412.12,1.45%,"838,351"
493,BLK,"BlackRock, Inc.",Financial,Asset Management,USA,68.86B,16.94,445.64,-0.11%,"362,394"
494,TDG,TransDigm Group Incorporated,Industrial Goods,Aerospace/Defense Products & Services,USA,28.46B,38.94,520.67,0.48%,"210,599"
495,ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,USA,63.34B,53.94,539.93,1.16%,"430,916"
496,SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,USA,51.11B,44.52,549.87,1.03%,"337,311"
497,EQIX,"Equinix, Inc. (REIT)",Financial,REIT - Diversified,USA,49.47B,96.68,576.80,0.03%,"301,004"
498,MTD,Mettler-Toledo International Inc.,Healthcare,Medical Instruments & Supplies,USA,17.36B,32.52,704.40,0.73%,"171,666"
499,CMG,"Chipotle Mexican Grill, Inc.",Services,Restaurants,USA,23.26B,97.56,840.47,2.64%,"460,129"
500,AZO,"AutoZone, Inc.",Services,Auto Parts Stores,USA,26.61B,18.34,1084.62,-0.09%,"230,600"
501,GOOG,Alphabet Inc.,Technology,Internet Information Providers,USA,830.04B,24.61,1219.00,-0.50%,"1,403,997"
502,GOOGL,Alphabet Inc.,Technology,Internet Information Providers,USA,857.72B,24.65,1221.14,-0.39%,"1,223,425"
503,AMZN,"Amazon.com, Inc.",Services,Catalog & Mail Order Houses,USA,865.84B,72.92,1735.91,0.61%,"2,644,691"
504,BKNG,Booking Holdings Inc.,Services,Business Services,USA,84.90B,22.00,1962.61,0.94%,"226,453"
505,NVR,"NVR, Inc.",Industrial Goods,Residential Construction,USA,13.53B,17.90,3717.35,2.50%,"26,486"
